main_sound,level,hanja,meaning,radical,strokes,total_strokes
리,3급,梨,"[[['배'], ['리']]]",木,7,11
린,3급,隣,"[[['이웃'], ['린']]]",阜,12,15
만,3급,慢,"[[['거만할'], ['만']]]",心,11,14
만,3급,漫,"[[['흩어질'], ['만']]]",水,11,14
망,3급,忘,"[[['잊을'], ['망']]]",心,3,7
망,3급,茫,"[[['아득할'], ['망']]]",艸,6,10
망,3급,忙,"[[['바쁠'], ['망']]]",心,3,6
망,3급,罔,"[[['없을'], ['망']]]",网,3,8
매,3급,埋,"[[['묻을'], ['매']]]",土,7,10
명,3급,冥,"[[['어두울'], ['명']]]",冖,8,10
모,3급,某,"[[['아무'], ['모']]]",木,5,9
모,3급,暮,"[[['저물'], ['모']]]",日,11,15
모,3급,募,"[[['모을', '뽑을'], ['모']]]",力,11,13
모,3급,冒,"[[['무릅쓸'], ['모']]]",冂,7,9
모,3급,侮,"[[['업신여길'], ['모']]]",人,7,9
묘,3급,卯,"[[['토끼'], ['묘']]]",卩,3,5
묘,3급,廟,"[[['사당'], ['묘']]]",广,12,15
묘,3급,苗,"[[['모'], ['묘']]]",艸,5,9
무,3급,戊,"[[['천간'], ['무']]]",戈,1,5
무,3급,霧,"[[['안개'], ['무']]]",雨,11,19
미,3급,迷,"[[['미혹할'], ['미']]]",辵,6,10
미,3급,眉,"[[['눈썹'], ['미']]]",目,4,9
민,3급,敏,"[[['민첩할'], ['민']]]",攴,7,11
민,3급,憫,"[[['민망할'], ['민']]]",心,12,15
밀,3급,蜜,"[[['꿀'], ['밀']]]",虫,8,14
박,3급,泊,"[[['머무를', '배댈'], ['박']]]",水,5,8
반,3급,伴,"[[['짝'], ['반']]]",人,5,7
반,3급,叛,"[[['배반할'], ['반']]]",又,7,9
반,3급,返,"[[['돌이킬'], ['반']]]",辵,4,8
방,3급,倣,"[[['본뜰'], ['방']]]",人,8,10
방,3급,傍,"[[['곁'], ['방']]]",人,10,12
방,3급,邦,"[[['나라'], ['방']]]",邑,4,7
배,3급,杯,"[[['잔'], ['배']]]",木,4,8
번,3급,飜,"[[['번역할'], ['번']]]",飛,12,21
번,3급,煩,"[[['번거로울'], ['번']]]",火,9,13
변,3급,辨,"[[['분별할'], ['변']]]",辛,9,16
병,3급,竝,"[[['나란히'], ['병']]]",立,5,10
병,3급,屛,"[[['병풍'], ['병']]]",尸,8,11
복,3급,卜,"[[['점'], ['복']]]",卜,0,2
봉,3급,蜂,"[[['벌'], ['봉']]]",虫,7,13
부,3급,赴,"[[['다다를[趨而至]', '갈[趨]'], ['부']]]",走,2,9
분,3급,墳,"[[['무덤'], ['분']]]",土,12,15
붕,3급,崩,"[[['무너질'], ['붕']]]",山,8,11
붕,3급,朋,"[[['벗'], ['붕']]]",月,4,8
빈,3급,賓,"[[['손'], ['빈']]]",貝,7,14
빈,3급,頻,"[[['자주'], ['빈']]]",頁,7,16
빙,3급,聘,"[[['부를'], ['빙']]]",耳,7,13
사,3급,巳,"[[['뱀'], ['사']]]",己,0,3
사,3급,捨,"[[['버릴'], ['사']]]",手,8,11
사,3급,斯,"[[['이'], ['사']]]",斤,8,12
사,3급,詐,"[[['속일'], ['사']]]",言,5,12
사,3급,賜,"[[['줄'], ['사']]]",貝,8,15
사,3급,似,"[[['닮을'], ['사']]]",人,5,7
삭,3급,朔,"[[['초하루'], ['삭']]]",月,6,10
상,3급,祥,"[[['상서'], ['상']]]",示,6,11
상,3급,嘗,"[[['맛볼'], ['상']]]",口,11,14
서,3급,暑,"[[['더울'], ['서']]]",日,9,13
서,3급,敍,"[[['펼'], ['서']]]",攴,7,11
서,3급,逝,"[[['갈[往]'], ['서']]]",辵,7,11
서,3급,庶,"[[['여러'], ['서']]]",广,8,11
서,3급,誓,"[[['맹세할'], ['서']]]",言,7,14
석,3급,昔,"[[['예[古]'], ['석']]]",日,4,8
석,3급,析,"[[['쪼갤'], ['석']]]",木,4,8
섭,3급,攝,"[[['다스릴', '잡을'], ['섭']]]",手,18,21
섭,3급,涉,"[[['건널'], ['섭']]]",水,7,10
소,3급,召,"[[['부를'], ['소']]]",口,2,5
소,3급,昭,"[[['밝을'], ['소']]]",日,5,9
소,3급,蔬,"[[['나물'], ['소']]]",艸,12,16
소,3급,騷,"[[['떠들'], ['소']]]",馬,10,20
속,3급,粟,"[[['조'], ['속']]]",米,6,12
송,3급,誦,"[[['욀'], ['송']]]",言,7,14
수,3급,睡,"[[['졸음'], ['수']]]",目,8,13
수,3급,須,"[[['모름지기'], ['수']]]",頁,3,12
수,3급,雖,"[[['비록'], ['수']]]",隹,9,17
수,3급,誰,"[[['누구'], ['수']]]",言,8,15
수,3급,搜,"[[['찾을'], ['수']]]",手,9,12
수,3급,囚,"[[['가둘'], ['수']]]",囗,2,5
수,3급,遂,"[[['드디어'], ['수']]]",辵,9,13
숙,3급,孰,"[[['누구'], ['숙']]]",子,8,11
순,3급,循,"[[['돌[環]'], ['순']]]",彳,9,12
순,3급,殉,"[[['따라죽을'], ['순']]]",歹,6,10
순,3급,脣,"[[['입술'], ['순']]]",肉,7,11
술,3급,戌,"[[['개'], ['술']]]",戈,2,6
시,3급,矢,"[[['화살'], ['시']]]",矢,0,5
신,3급,辛,"[[['매울'], ['신']]]",辛,0,7
신,3급,伸,"[[['펼'], ['신']]]",人,5,7
신,3급,晨,"[[['새벽'], ['신']]]",日,7,11
심,3급,尋,"[[['찾을'], ['심']]]",寸,9,12
아,3급,餓,"[[['주릴'], ['아']]]",食,7,16
악,3급,岳,"[[['큰산'], ['악']]]",山,5,8
안,3급,雁,"[[['기러기'], ['안']]]",隹,4,12
알,3급,謁,"[[['뵐'], ['알']]]",言,9,16
압,3급,押,"[[['누를'], ['압']]]",手,5,8
앙,3급,殃,"[[['재앙'], ['앙']]]",歹,5,9
애,3급,涯,"[[['물가'], ['애']]]",水,8,11
액,3급,厄,"[[['액'], ['액']]]",厂,2,4
야,3급,也,"[[['이끼', '어조사'], ['야']]]",乙,2,3
야,3급,耶,"[[['어조사'], ['야']]]",耳,3,9
약,3급,躍,"[[['뛸'], ['약']]]",足,14,21
양,3급,楊,"[[['버들'], ['양']]]",木,9,13
어,3급,於,"[[['어조사'], ['어']], [['탄식할'], ['오']]]",方,4,8
언,3급,焉,"[[['어찌'], ['언']]]",火,7,11
여,3급,輿,"[[['수레'], ['여']]]",車,10,17
여,3급,汝,"[[['너'], ['여']]]",水,3,6
여,3급,余,"[[['나'], ['여']]]",人,5,7
여,3급,予,"[[['나'], ['여']]]",亅,3,4
열,3급,閱,"[[['볼[覽]'], ['열']]]",門,7,15
영,3급,詠,"[[['읊을'], ['영']]]",言,5,12
영,3급,泳,"[[['헤엄칠'], ['영']]]",水,5,8
예,3급,銳,"[[['날카로울'], ['예']]]",金,7,15
오,3급,嗚,"[[['슬플'], ['오']]]",口,10,13
오,3급,娛,"[[['즐길'], ['오']]]",女,7,10
오,3급,吾,"[[['나'], ['오']]]",口,4,7
오,3급,傲,"[[['거만할'], ['오']]]",人,11,13
오,3급,汚,"[[['더러울'], ['오']]]",水,3,6
옹,3급,擁,"[[['낄'], ['옹']]]",手,13,16
옹,3급,翁,"[[['늙은이'], ['옹']]]",羽,4,10
와,3급,臥,"[[['누울'], ['와']]]",臣,2,8
왈,3급,曰,"[[['가로'], ['왈']]]",曰,0,4
외,3급,畏,"[[['두려워할'], ['외']]]",田,4,9
요,3급,遙,"[[['멀'], ['요']]]",辵,10,14
요,3급,腰,"[[['허리'], ['요']]]",肉,9,13
요,3급,搖,"[[['흔들'], ['요']]]",手,10,13
용,3급,庸,"[[['떳떳할'], ['용']]]",广,8,11
우,3급,于,"[[['어조사'], ['우']]]",二,1,3
우,3급,尤,"[[['더욱'], ['우']]]",尢,1,4
우,3급,又,"[[['또'], ['우']]]",又,0,2
운,3급,云,"[[['이를'], ['운']]]",二,2,4
위,3급,違,"[[['어긋날'], ['위']]]",辵,9,13
위,3급,緯,"[[['씨'], ['위']]]",糸,9,15
유,3급,唯,"[[['오직'], ['유']]]",口,8,11
유,3급,酉,"[[['닭'], ['유']]]",酉,0,7
유,3급,愈,"[[['나을'], ['유']]]",心,9,13
유,3급,惟,"[[['생각할'], ['유']]]",心,8,11
윤,3급,閏,"[[['윤달'], ['윤']]]",門,4,12
음,3급,吟,"[[['읊을'], ['음']]]",口,4,7
읍,3급,泣,"[[['울'], ['읍']]]",水,5,8
응,3급,凝,"[[['엉길'], ['응']]]",冫,14,16
의,3급,矣,"[[['어조사'], ['의']]]",矢,2,7
의,3급,宜,"[[['마땅'], ['의']]]",宀,5,8
이,3급,而,"[[['말이을'], ['이']]]",而,0,6
이,3급,夷,"[[['오랑캐'], ['이']]]",大,3,6
인,3급,寅,"[[['범[虎]', '동방'], ['인']]]",宀,8,11
인,3급,姻,"[[['혼인'], ['인']]]",女,6,9
자,3급,恣,"[[['마음대로', '방자할'], ['자']]]",心,6,10
자,3급,玆,"[[['이'], ['자']]]",玄,5,10
작,3급,酌,"[[['술부을', '잔질할'], ['작']]]",酉,3,10
작,3급,爵,"[[['벼슬'], ['작']]]",爪,14,18
장,3급,墻,"[[['담'], ['장']]]",土,13,16
재,3급,哉,"[[['어조사'], ['재']]]",口,6,9
재,3급,宰,"[[['재상'], ['재']]]",宀,7,10
적,3급,滴,"[[['물방울'], ['적']]]",水,11,14
절,3급,竊,"[[['훔칠'], ['절']]]",穴,17,22
접,3급,蝶,"[[['나비'], ['접']]]",虫,9,15
정,3급,訂,"[[['바로잡을'], ['정']]]",言,2,9
제,3급,堤,"[[['둑'], ['제']]]",土,9,12
조,3급,燥,"[[['마를'], ['조']]]",火,13,17
조,3급,弔,"[[['조상할'], ['조']]]",弓,1,4
졸,3급,拙,"[[['졸할'], ['졸']]]",手,5,8
좌,3급,佐,"[[['도울'], ['좌']]]",人,5,7
주,3급,舟,"[[['배'], ['주']]]",舟,0,6
준,3급,遵,"[[['좇을'], ['준']]]",辵,12,16
준,3급,俊,"[[['준걸'], ['준']]]",人,7,9
증,3급,贈,"[[['줄[送]'], ['증']]]",貝,12,19
지,3급,只,"[[['다만'], ['지']]]",口,2,5
지,3급,遲,"[[['더딜', '늦을'], ['지']]]",辵,12,16
질,3급,姪,"[[['조카'], ['질']]]",女,6,9
징,3급,懲,"[[['징계할'], ['징']]]",心,15,19
차,3급,且,"[[['또'], ['차']]]",一,4,5
착,3급,捉,"[[['잡을'], ['착']]]",手,7,10
참,3급,慙,"[[['부끄러울'], ['참']]]",心,11,15
참,3급,慘,"[[['참혹할'], ['참']]]",心,11,14
창,3급,暢,"[[['화창할'], ['창']]]",日,10,14
척,3급,斥,"[[['물리칠'], ['척']]]",斤,1,5
천,3급,薦,"[[['천거할'], ['천']]]",艸,13,17
첨,3급,尖,"[[['뾰족할'], ['첨']]]",小,3,6
첨,3급,添,"[[['더할'], ['첨']]]",水,8,11
첩,3급,妾,"[[['첩'], ['첩']]]",女,5,8
청,3급,晴,"[[['갤'], ['청']]]",日,8,12
체,3급,遞,"[[['갈릴'], ['체']]]",辵,10,14
체,3급,逮,"[[['잡을'], ['체']]]",辵,8,12
체,3급,替,"[[['바꿀'], ['체']]]",曰,8,12
초,3급,抄,"[[['뽑을'], ['초']]]",手,4,7
초,3급,秒,"[[['분초'], ['초']]]",禾,4,9
촉,3급,燭,"[[['촛불'], ['촉']]]",火,13,17
총,3급,聰,"[[['귀밝을'], ['총']]]",耳,11,17
추,3급,醜,"[[['추할'], ['추']]]",酉,10,17
추,3급,抽,"[[['뽑을'], ['추']]]",手,5,8
축,3급,逐,"[[['쫓을'], ['축']]]",辵,7,11
축,3급,丑,"[[['소'], ['축']]]",一,3,4
취,3급,臭,"[[['냄새'], ['취']]]",自,4,10
침,3급,枕,"[[['베개'], ['침']]]",木,4,8
타,3급,妥,"[[['온당할'], ['타']]]",女,4,7
타,3급,墮,"[[['떨어질'], ['타']]]",土,12,15
탁,3급,托,"[[['맡길'], ['탁']]]",手,3,6
탁,3급,濁,"[[['흐릴'], ['탁']]]",水,13,16
탁,3급,濯,"[[['씻을'], ['탁']]]",水,14,17
탄,3급,誕,"[[['낳을', '거짓'], ['탄']]]",言,7,14
탐,3급,貪,"[[['탐낼'], ['탐']]]",貝,4,11
태,3급,怠,"[[['게으를'], ['태']]]",心,5,9
파,3급,播,"[[['뿌릴'], ['파']]]",手,12,15
파,3급,把,"[[['잡을'], ['파']]]",手,4,7
파,3급,罷,"[[['마칠'], ['파']]]",网,10,15
파,3급,頗,"[[['자못'], ['파']]]",頁,5,14
판,3급,販,"[[['팔[賣]'], ['판']]]",貝,4,11
패,3급,貝,"[[['조개'], ['패']]]",貝,0,7
편,3급,遍,"[[['두루'], ['편']]]",辵,9,13
폐,3급,幣,"[[['화폐'], ['폐']]]",巾,12,15
폐,3급,蔽,"[[['덮을'], ['폐']]]",艸,12,16
포,3급,抱,"[[['안을'], ['포']]]",手,5,8
포,3급,飽,"[[['배부를'], ['포']]]",食,5,14
폭,3급,幅,"[[['폭'], ['폭']]]",巾,9,12
표,3급,漂,"[[['떠다닐'], ['표']]]",水,11,14
필,3급,匹,"[[['짝'], ['필']]]",匸,2,4
한,3급,旱,"[[['가물'], ['한']]]",日,3,7
함,3급,咸,"[[['다'], ['함']]]",口,6,9
항,3급,巷,"[[['거리'], ['항']]]",己,6,9
해,3급,亥,"[[['돼지'], ['해']]]",亠,4,6
해,3급,奚,"[[['어찌'], ['해']]]",大,7,10
해,3급,該,"[[['갖출[備]', '마땅[當]'], ['해']]]",言,6,13
향,3급,享,"[[['누릴'], ['향']]]",亠,6,8
헌,3급,軒,"[[['집'], ['헌']]]",車,3,10
현,3급,絃,"[[['줄'], ['현']]]",糸,5,11
현,3급,縣,"[[['고을'], ['현']]]",糸,10,16
혐,3급,嫌,"[[['싫어할'], ['혐']]]",女,10,13
형,3급,亨,"[[['형통할'], ['형']]]",亠,5,7
형,3급,螢,"[[['반딧불'], ['형']]]",虫,10,16
혜,3급,兮,"[[['어조사'], ['혜']]]",八,2,4
호,3급,乎,"[[['어조사'], ['호']]]",丿,4,5
호,3급,互,"[[['서로'], ['호']]]",二,2,4
호,3급,毫,"[[['터럭'], ['호']]]",毛,7,11
혼,3급,昏,"[[['어두울'], ['혼']]]",日,4,8
홍,3급,鴻,"[[['기러기'], ['홍']]]",鳥,6,17
홍,3급,弘,"[[['클'], ['홍']]]",弓,2,5
화,3급,禾,"[[['벼'], ['화']]]",禾,0,5
확,3급,穫,"[[['거둘'], ['확']]]",禾,14,19
확,3급,擴,"[[['넓힐'], ['확']]]",手,15,18
환,3급,丸,"[[['둥글'], ['환']]]",丶,2,3
효,3급,曉,"[[['새벽'], ['효']]]",日,12,16
후,3급,侯,"[[['제후'], ['후']]]",人,7,9
훼,3급,毁,"[[['헐'], ['훼']]]",殳,9,13
휘,3급,輝,"[[['빛날'], ['휘']]]",車,8,15
휴,3급,携,"[[['이끌'], ['휴']]]",手,10,13
